seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
51,2,10,1,0.3,0,1,400,0.5,2,2,XRAI_0.10,0,0,sum,0.4
31663,10,50,5,0.3,23,0,250000,0,7,7,XRAI_0.10,0,0,sum,0
15755,25,25,1,0.3,2,0,390625,0,13,13,XRAI_0.10,0,0,sum,0
4319,2,50,1,1,9,2,10000,0.12,24,24,XRAI_0.10,0,0,sum,0.1
10396,2,15,5,0.3,26,4,900,0.533333,0,0,XRAI_0.10,0,0,sum,0.4
1764,10,15,1,0.3,4,10,22500,0.291852,1,1,XRAI_0.10,0,0,sum,0.25
51,2,10,1,0.3,0,1,400,0.5,2,2,XRAI_0.10,0,0,sum,0.5
76,2,15,1,0.3,0,9,900,0.8,4,2,XRAI_0.10,0,0,sum,0.75
4319,2,50,1,1,9,5,10000,0.28,25,24,XRAI_0.10,0,0,sum,0.25
76,2,15,1,0.3,0,9,900,0.8,4,2,XRAI_0.10,0,0,sum,0.8
10396,2,15,5,0.3,26,4,900,0.533333,0,0,XRAI_0.10,0,0,sum,0.5
76,2,15,1,0.3,0,12,900,0.866667,4,2,XRAI_0.10,0,0,sum,0.85
51,2,10,1,0.3,0,5,400,0.7,3,2,XRAI_0.10,0,0,sum,0.65
76,2,15,1,0.3,0,13,900,1,5,2,XRAI_0.10,0,0,sum,0.9
1764,10,15,1,0.3,4,16,22500,0.405926,1,1,XRAI_0.10,0,0,sum,0.4
51,2,10,1,0.3,0,6,400,0.8,4,2,XRAI_0.10,0,0,sum,0.75
76,2,15,1,0.3,0,13,900,1,5,2,XRAI_0.10,0,0,sum,0.95
10396,2,15,5,0.3,26,6,900,0.666667,2,0,XRAI_0.10,0,0,sum,0.65
76,2,15,1,0.3,0,13,900,1,5,2,XRAI_0.10,0,0,sum,1
51,2,10,1,0.3,0,6,400,0.8,4,2,XRAI_0.10,0,0,sum,0.8
4319,2,50,1,1,9,11,10000,0.4,26,24,XRAI_0.10,0,0,sum,0.4
10396,2,15,5,0.3,26,8,900,0.8,4,0,XRAI_0.10,0,0,sum,0.75
1764,10,15,1,0.3,4,21,22500,0.502222,2,1,XRAI_0.10,0,0,sum,0.5
93,2,15,1,0.3,1,0,900,0,3,3,XRAI_0.10,0,0,sum,0
51,2,10,1,0.3,0,13,400,1,4,2,XRAI_0.10,0,1,sum,0.85
93,2,15,1,0.3,1,1,900,0.2,3,3,XRAI_0.10,0,0,sum,0.1
51,2,10,1,0.3,0,13,400,1,4,2,XRAI_0.10,1,1,sum,0.9
93,2,15,1,0.3,1,2,900,0.333333,3,3,XRAI_0.10,0,0,sum,0.25
10396,2,15,5,0.3,26,8,900,0.8,4,0,XRAI_0.10,0,0,sum,0.8
4319,2,50,1,1,9,14,10000,0.52,33,24,XRAI_0.10,0,0,sum,0.5
51,2,10,1,0.3,0,13,400,1,4,2,XRAI_0.10,1,1,sum,0.95
93,2,15,1,0.3,1,3,900,0.533333,4,3,XRAI_0.10,0,0,sum,0.4
51,2,10,1,0.3,0,13,400,1,4,2,XRAI_0.10,1,1,sum,1
93,2,15,1,0.3,1,3,900,0.533333,4,3,XRAI_0.10,0,0,sum,0.5
4319,2,50,1,1,9,20,10000,0.66,34,24,XRAI_0.10,0,0,sum,0.65
93,2,15,1,0.3,1,6,900,0.733333,4,3,XRAI_0.10,0,1,sum,0.65
1764,10,15,1,0.3,4,34,22500,0.663704,2,1,XRAI_0.10,0,0,sum,0.65
63,2,10,1,0.3,1,0,400,0,0,0,XRAI_0.10,1,1,sum,0
93,2,15,1,0.3,1,9,900,0.8,4,3,XRAI_0.10,1,1,sum,0.75
4319,2,50,1,1,9,26,10000,0.76,41,24,XRAI_0.10,0,0,sum,0.75
10396,2,15,5,0.3,26,20,900,0.866667,3,0,XRAI_0.10,0,0,sum,0.85
