seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
95,2,10,1,0.3,2,1,400,0.3,0,0,1RAI,1,1,eucl,0.25
2031,10,10,1,1,10,43,10000,0.801114,3,2,1RAI,0,0,eucl,0.8
1764,10,15,1,0.3,4,13,22500,0.403964,1,1,1RAI,0,0,eucl,0.4
95,2,10,1,0.3,2,2,400,0.5,0,0,1RAI,1,1,eucl,0.4
305,5,10,1,0.3,2,150,2500,1,2,1,1RAI,0,0,eucl,1
95,2,10,1,0.3,2,2,400,0.5,0,0,1RAI,1,1,eucl,0.5
153,2,25,1,0.3,1,4,2500,0.32,10,10,1RAI,0,0,eucl,0.25
95,2,10,1,0.3,2,4,400,0.7,0,0,1RAI,1,1,eucl,0.65
357,5,10,1,0.3,3,0,2500,1.11022e-16,0,0,1RAI,1,1,eucl,0
16450,5,25,5,0.3,25,128,15625,0.851946,7,0,1RAI,0,0,eucl,0.85
95,2,10,1,0.3,2,6,400,0.9,0,0,1RAI,1,1,eucl,0.75
357,5,10,1,0.3,3,1,2500,0.107812,0,0,1RAI,1,1,eucl,0.1
95,2,10,1,0.3,2,6,400,0.9,0,0,1RAI,1,1,eucl,0.8
153,2,25,1,0.3,1,6,2500,0.4,11,10,1RAI,0,0,eucl,0.4
26,2,5,1,0.3,0,1,100,0.4,0,0,1RAI,1,1,eucl,0.4
8306,2,25,3,0.6,18,23,2500,0.96,10,1,1RAI,0,0,eucl,0.95
4319,2,50,1,1,9,5,10000,0.26,25,24,1RAI,0,0,eucl,0.25
467,5,5,1,1,8,0,625,1.11022e-16,0,0,1RAI,0,0,eucl,0
1764,10,15,1,0.3,4,17,22500,0.505587,2,1,1RAI,0,0,eucl,0.5
10396,2,15,5,0.3,26,22,900,0.8,3,0,1RAI,0,0,eucl,0.8
31663,10,50,5,0.3,23,10,250000,0.113664,7,7,1RAI,0,0,eucl,0.1
8306,2,25,3,0.6,18,27,2500,1,10,1,1RAI,0,0,eucl,1
76,2,15,1,0.3,0,5,900,0.6,4,2,1RAI,0,0,eucl,0.5
357,5,10,1,0.3,3,3,2500,0.328435,0,0,1RAI,1,1,eucl,0.25
95,2,10,1,0.3,2,6,400,0.9,0,0,1RAI,1,1,eucl,0.85
2031,10,10,1,1,10,51,10000,0.854703,3,2,1RAI,0,0,eucl,0.85
95,2,10,1,0.3,2,6,400,0.9,0,0,1RAI,1,1,eucl,0.9
357,5,10,1,0.3,3,5,2500,0.443224,0,0,1RAI,1,1,eucl,0.4
95,2,10,1,0.3,2,7,400,1,0,0,1RAI,1,1,eucl,0.95
4319,2,50,1,1,9,8,10000,0.44,26,24,1RAI,0,0,eucl,0.4
10396,2,15,5,0.3,26,29,900,0.866667,2,0,1RAI,0,0,eucl,0.85
76,2,15,1,0.3,0,6,900,0.733333,4,2,1RAI,0,0,eucl,0.65
26,2,5,1,0.3,0,2,100,0.8,0,0,1RAI,1,1,eucl,0.5
95,2,10,1,0.3,2,7,400,1,0,0,1RAI,1,1,eucl,1
357,5,10,1,0.3,3,7,2500,0.524605,1,0,1RAI,1,0,eucl,0.5
4319,2,50,1,1,9,10,10000,0.52,27,24,1RAI,0,0,eucl,0.5
153,2,25,1,0.3,1,10,2500,0.52,11,10,1RAI,0,0,eucl,0.5
147,2,10,1,0.3,3,0,400,0,0,0,1RAI,0,0,eucl,0
357,5,10,1,0.3,3,12,2500,0.666833,1,0,1RAI,0,0,eucl,0.65
147,2,10,1,0.3,3,1,400,0.3,0,0,1RAI,0,0,eucl,0.1
26,2,5,1,0.3,0,2,100,0.8,0,0,1RAI,1,1,eucl,0.65
147,2,10,1,0.3,3,1,400,0.3,0,0,1RAI,0,0,eucl,0.25
357,5,10,1,0.3,3,17,2500,0.778641,1,0,1RAI,0,0,eucl,0.75
147,2,10,1,0.3,3,2,400,0.5,0,0,1RAI,0,0,eucl,0.4
153,2,25,1,0.3,1,13,2500,0.72,12,10,1RAI,0,0,eucl,0.65
10396,2,15,5,0.3,26,51,900,0.933333,3,0,1RAI,0,0,eucl,0.9
14173,5,50,3,0.6,16,23,62500,0.417248,22,16,1RAI,0,0,eucl,0.4
9235,2,25,3,0.6,19,0,2500,0,8,8,1RAI,0,0,eucl,0
147,2,10,1,0.3,3,2,400,0.5,0,0,1RAI,0,0,eucl,0.5
357,5,10,1,0.3,3,22,2500,0.818341,1,0,1RAI,0,0,eucl,0.8
147,2,10,1,0.3,3,5,400,0.8,2,0,1RAI,0,0,eucl,0.65
2031,10,10,1,1,10,68,10000,0.901117,3,2,1RAI,0,0,eucl,0.9
147,2,10,1,0.3,3,5,400,0.8,2,0,1RAI,0,0,eucl,0.75
10396,2,15,5,0.3,26,53,900,1,3,0,1RAI,0,0,eucl,0.95
147,2,10,1,0.3,3,5,400,0.8,2,0,1RAI,0,0,eucl,0.8
357,5,10,1,0.3,3,29,2500,0.855086,2,0,1RAI,0,0,eucl,0.85
147,2,10,1,0.3,3,6,400,1,2,0,1RAI,0,0,eucl,0.85
16450,5,25,5,0.3,25,246,15625,0.90202,7,0,1RAI,0,0,eucl,0.9
147,2,10,1,0.3,3,6,400,1,2,0,1RAI,0,0,eucl,0.9
4319,2,50,1,1,9,17,10000,0.66,29,24,1RAI,0,0,eucl,0.65
147,2,10,1,0.3,3,6,400,1,2,0,1RAI,0,0,eucl,0.95
153,2,25,1,0.3,1,14,2500,0.76,12,10,1RAI,0,0,eucl,0.75
147,2,10,1,0.3,3,6,400,1,2,0,1RAI,0,0,eucl,1
357,5,10,1,0.3,3,45,2500,0.916334,2,0,1RAI,0,0,eucl,0.9
9235,2,25,3,0.6,19,1,2500,0.12,8,8,1RAI,0,0,eucl,0.1
26,2,5,1,0.3,0,2,100,0.8,0,0,1RAI,1,1,eucl,0.75
4319,2,50,1,1,9,22,10000,0.76,28,24,1RAI,0,0,eucl,0.75
219,2,10,1,0.3,4,0,400,0,0,0,1RAI,0,0,eucl,0
1764,10,15,1,0.3,4,28,22500,0.651742,2,1,1RAI,0,0,eucl,0.65
76,2,15,1,0.3,0,11,900,0.8,4,2,1RAI,0,0,eucl,0.75
10396,2,15,5,0.3,26,53,900,1,3,0,1RAI,0,0,eucl,1
467,5,5,1,1,8,1,625,0.137446,0,0,1RAI,0,0,eucl,0.1
26,2,5,1,0.3,0,2,100,0.8,0,0,1RAI,1,1,eucl,0.8
9235,2,25,3,0.6,19,3,2500,0.32,12,8,1RAI,0,0,eucl,0.25
357,5,10,1,0.3,3,72,2500,0.955279,2,0,1RAI,0,0,eucl,0.95
219,2,10,1,0.3,4,1,400,0.2,0,0,1RAI,0,0,eucl,0.1
11197,2,15,5,0.3,27,0,900,0,0,0,1RAI,0,0,eucl,0
14173,5,50,3,0.6,16,31,62500,0.503371,24,16,1RAI,0,0,eucl,0.5
9235,2,25,3,0.6,19,4,2500,0.4,12,8,1RAI,0,0,eucl,0.4
76,2,15,1,0.3,0,11,900,0.8,4,2,1RAI,0,0,eucl,0.8
26,2,5,1,0.3,0,7,100,1,0,0,1RAI,1,1,eucl,0.85
76,2,15,1,0.3,0,13,900,0.866667,4,2,1RAI,0,0,eucl,0.85
219,2,10,1,0.3,4,2,400,0.5,0,0,1RAI,0,0,eucl,0.25
11197,2,15,5,0.3,27,2,900,0.133333,1,0,1RAI,0,0,eucl,0.1
4319,2,50,1,1,9,26,10000,0.82,28,24,1RAI,0,0,eucl,0.8
219,2,10,1,0.3,4,2,400,0.5,0,0,1RAI,0,0,eucl,0.4
76,2,15,1,0.3,0,23,900,0.933333,4,2,1RAI,0,0,eucl,0.9
9235,2,25,3,0.6,19,6,2500,0.52,14,8,1RAI,0,0,eucl,0.5
26,2,5,1,0.3,0,7,100,1,0,0,1RAI,1,1,eucl,0.9
153,2,25,1,0.3,1,16,2500,0.8,13,10,1RAI,0,0,eucl,0.8
4319,2,50,1,1,9,28,10000,0.86,28,24,1RAI,0,0,eucl,0.85
357,5,10,1,0.3,3,126,2500,1,3,0,1RAI,0,1,eucl,1
219,2,10,1,0.3,4,2,400,0.5,0,0,1RAI,0,0,eucl,0.5
467,5,5,1,1,8,2,625,0.270617,0,0,1RAI,0,0,eucl,0.25
31663,10,50,5,0.3,23,25,250000,0.25744,8,7,1RAI,0,0,eucl,0.25
4319,2,50,1,1,9,29,10000,0.9,28,24,1RAI,0,0,eucl,0.9
219,2,10,1,0.3,4,4,400,0.8,0,0,1RAI,0,0,eucl,0.65
429,5,10,1,0.3,4,0,2500,1.11022e-16,0,0,1RAI,0,0,eucl,0
219,2,10,1,0.3,4,4,400,0.8,0,0,1RAI,0,0,eucl,0.75
9235,2,25,3,0.6,19,10,2500,0.68,16,8,1RAI,0,0,eucl,0.65
219,2,10,1,0.3,4,4,400,0.8,0,0,1RAI,0,0,eucl,0.8
429,5,10,1,0.3,4,1,2500,0.107812,0,0,1RAI,0,0,eucl,0.1
219,2,10,1,0.3,4,6,400,0.9,2,0,1RAI,0,0,eucl,0.85
11197,2,15,5,0.3,27,5,900,0.333333,1,0,1RAI,0,0,eucl,0.25
76,2,15,1,0.3,0,49,900,1,5,2,1RAI,0,0,eucl,0.95
219,2,10,1,0.3,4,6,400,0.9,2,0,1RAI,0,0,eucl,0.9
429,5,10,1,0.3,4,3,2500,0.335169,0,0,1RAI,0,0,eucl,0.25
153,2,25,1,0.3,1,30,2500,0.88,13,10,1RAI,0,0,eucl,0.85
11197,2,15,5,0.3,27,6,900,0.466667,2,0,1RAI,0,0,eucl,0.4
467,5,5,1,1,8,4,625,0.557281,0,0,1RAI,0,1,eucl,0.4
429,5,10,1,0.3,4,4,2500,0.443224,0,0,1RAI,0,0,eucl,0.4
219,2,10,1,0.3,4,10,400,1,2,0,1RAI,0,0,eucl,0.95
153,2,25,1,0.3,1,31,2500,0.92,14,10,1RAI,0,0,eucl,0.9
26,2,5,1,0.3,0,7,100,1,0,0,1RAI,1,1,eucl,0.95
11197,2,15,5,0.3,27,7,900,0.6,2,0,1RAI,0,0,eucl,0.5
467,5,5,1,1,8,4,625,0.557281,0,0,1RAI,1,1,eucl,0.5
429,5,10,1,0.3,4,5,2500,0.539565,0,0,1RAI,0,0,eucl,0.5
219,2,10,1,0.3,4,10,400,1,2,0,1RAI,0,0,eucl,1
9235,2,25,3,0.6,19,12,2500,0.76,15,8,1RAI,0,0,eucl,0.75
311,2,10,1,0.3,5,0,400,0,1,1,1RAI,0,0,eucl,0
429,5,10,1,0.3,4,8,2500,0.656489,0,0,1RAI,0,0,eucl,0.65
311,2,10,1,0.3,5,1,400,0.2,1,1,1RAI,0,0,eucl,0.1
153,2,25,1,0.3,1,45,2500,0.96,14,10,1RAI,0,0,eucl,0.95
76,2,15,1,0.3,0,49,900,1,5,2,1RAI,0,0,eucl,1
