seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,div_threshold
1811,2,10,1,0.3,5,2,400,1,0,0,XRAI_1.50,1,1,sum,0.75
179507,2,50,1,1,28,7,10000,0.58,31,24,XRAI_1.50,0,0,sum,0.5
76473,2,30,3,1,21,12,3600,0.766667,23,16,XRAI_1.50,0,0,sum,0.75
1811,2,10,1,0.3,5,2,400,1,0,0,XRAI_1.50,1,1,sum,0.85
1167,5,5,3,1,2,28,625,0.86,2,1,XRAI_1.50,0,0,sum,0.85
10089,5,10,1,1,9,6,2500,0.54,0,0,XRAI_1.50,1,1,sum,0.5
1811,2,10,1,0.3,5,2,400,1,0,0,XRAI_1.50,1,1,sum,1
183,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.50,0,0,sum,1
1040,2,15,1,0.3,2,1,900,0.333333,4,4,XRAI_1.50,1,1,sum,0.25
1083,2,30,1,0.3,1,172,3600,1,16,11,XRAI_1.50,0,0,sum,1
2223,2,10,1,0.3,6,1,400,0.5,0,0,XRAI_1.50,1,1,sum,0.25
76473,2,30,3,1,21,20,3600,0.866667,23,16,XRAI_1.50,0,0,sum,0.85
179507,2,50,1,1,28,17,10000,0.78,39,24,XRAI_1.50,0,0,sum,0.75
26065,2,15,5,1,15,26,900,1,10,5,XRAI_1.50,0,0,sum,1
2223,2,10,1,0.3,6,1,400,0.5,0,0,XRAI_1.50,1,1,sum,0.5
10089,5,10,1,1,9,9,2500,0.75,0,0,XRAI_1.50,1,1,sum,0.75
2223,2,10,1,0.3,6,2,400,0.9,0,0,XRAI_1.50,1,1,sum,0.75
2075,2,30,1,0.3,2,4,3600,0.3,15,14,XRAI_1.50,0,0,sum,0.25
1040,2,15,1,0.3,2,5,900,0.6,4,4,XRAI_1.50,1,1,sum,0.5
76473,2,30,3,1,21,24,3600,1,23,16,XRAI_1.50,0,0,sum,1
350,2,5,1,0.3,2,1,100,0.8,0,0,XRAI_1.50,0,0,sum,0.25
2223,2,10,1,0.3,6,2,400,0.9,0,0,XRAI_1.50,1,1,sum,0.85
10089,5,10,1,1,9,13,2500,0.86,0,0,XRAI_1.50,1,1,sum,0.85
2223,2,10,1,0.3,6,3,400,1,0,0,XRAI_1.50,1,1,sum,1
2075,2,30,1,0.3,2,7,3600,0.5,15,14,XRAI_1.50,0,0,sum,0.5
179507,2,50,1,1,28,29,10000,0.88,44,24,XRAI_1.50,0,0,sum,0.85
1040,2,15,1,0.3,2,6,900,0.8,4,4,XRAI_1.50,1,1,sum,0.75
2655,2,10,1,0.3,7,1,400,0.3,0,0,XRAI_1.50,0,0,sum,0.25
350,2,5,1,0.3,2,1,100,0.8,0,0,XRAI_1.50,0,0,sum,0.5
8095,10,10,5,0.6,10,65,10000,0.857778,5,3,XRAI_1.50,1,1,sum,0.85
51079,20,30,5,0.3,24,13,360000,0.254737,18,18,XRAI_1.50,0,0,sum,0.25
2075,2,30,1,0.3,2,21,3600,0.866667,18,14,XRAI_1.50,0,0,sum,0.75
2655,2,10,1,0.3,7,2,400,0.6,0,0,XRAI_1.50,0,0,sum,0.5
28036,2,15,5,1,16,1,900,0.466667,5,5,XRAI_1.50,0,0,sum,0.25
2655,2,10,1,0.3,7,4,400,0.9,3,0,XRAI_1.50,0,0,sum,0.75
80767,2,30,3,1,22,1,3600,0.366667,13,13,XRAI_1.50,0,0,sum,0.25
2075,2,30,1,0.3,2,21,3600,0.866667,18,14,XRAI_1.50,0,0,sum,0.85
179507,2,50,1,1,28,48,10000,1,45,24,XRAI_1.50,0,0,sum,1
28036,2,15,5,1,16,2,900,0.666667,5,5,XRAI_1.50,0,0,sum,0.5
1040,2,15,1,0.3,2,9,900,0.866667,5,4,XRAI_1.50,1,0,sum,0.85
2655,2,10,1,0.3,7,4,400,0.9,3,0,XRAI_1.50,0,0,sum,0.85
57195,10,30,1,0.6,22,56,90000,0.854074,17,10,XRAI_1.50,0,0,sum,0.85
124693,5,50,5,0.6,28,34,62500,0.756,40,32,XRAI_1.50,0,0,sum,0.75
80767,2,30,3,1,22,2,3600,0.533333,13,13,XRAI_1.50,0,0,sum,0.5
350,2,5,1,0.3,2,1,100,0.8,0,0,XRAI_1.50,0,0,sum,0.75
2075,2,30,1,0.3,2,49,3600,1,18,14,XRAI_1.50,0,0,sum,1
2655,2,10,1,0.3,7,18,400,1,3,0,XRAI_1.50,0,0,sum,1
350,2,5,1,0.3,2,5,100,1,0,0,XRAI_1.50,0,1,sum,0.85
80767,2,30,3,1,22,8,3600,0.8,20,13,XRAI_1.50,0,0,sum,0.75
3107,2,10,1,0.3,8,2,400,0.4,0,0,XRAI_1.50,0,0,sum,0.25
28036,2,15,5,1,16,8,900,0.8,6,5,XRAI_1.50,0,0,sum,0.75
3107,2,10,1,0.3,8,3,400,0.5,0,0,XRAI_1.50,0,0,sum,0.5
1040,2,15,1,0.3,2,17,900,1,6,4,XRAI_1.50,0,0,sum,1
3107,2,10,1,0.3,8,4,400,0.9,2,0,XRAI_1.50,0,0,sum,0.75
3127,2,30,1,0.3,3,3,3600,0.4,11,9,XRAI_1.50,0,0,sum,0.25
3107,2,10,1,0.3,8,4,400,0.9,2,0,XRAI_1.50,0,0,sum,0.85
28036,2,15,5,1,16,13,900,0.866667,6,5,XRAI_1.50,0,0,sum,0.85
3107,2,10,1,0.3,8,5,400,1,2,0,XRAI_1.50,0,0,sum,1
3127,2,30,1,0.3,3,5,3600,0.566667,11,9,XRAI_1.50,0,0,sum,0.5
1567,2,15,1,0.3,3,1,900,0.466667,3,3,XRAI_1.50,0,0,sum,0.25
3579,2,10,1,0.3,9,1,400,0.4,0,0,XRAI_1.50,0,0,sum,0.25
28036,2,15,5,1,16,19,900,1,6,5,XRAI_1.50,0,0,sum,1
350,2,5,1,0.3,2,5,100,1,0,0,XRAI_1.50,1,1,sum,1
3579,2,10,1,0.3,9,2,400,0.5,0,0,XRAI_1.50,0,0,sum,0.5
187359,2,50,1,1,29,3,10000,0.36,30,26,XRAI_1.50,0,0,sum,0.25
80767,2,30,3,1,22,9,3600,0.866667,20,13,XRAI_1.50,0,0,sum,0.85
3579,2,10,1,0.3,9,3,400,0.9,1,0,XRAI_1.50,0,0,sum,0.75
3127,2,30,1,0.3,3,15,3600,0.766667,11,9,XRAI_1.50,0,0,sum,0.75
3579,2,10,1,0.3,9,3,400,0.9,1,0,XRAI_1.50,0,0,sum,0.85
527,2,5,1,0.3,3,2,100,0.6,0,0,XRAI_1.50,1,1,sum,0.25
124693,5,50,5,0.6,28,44,62500,0.852,40,32,XRAI_1.50,0,0,sum,0.85
1567,2,15,1,0.3,3,2,900,0.666667,3,3,XRAI_1.50,0,0,sum,0.5
187359,2,50,1,1,29,8,10000,0.54,30,26,XRAI_1.50,0,0,sum,0.5
10089,5,10,1,1,9,104,2500,1,3,0,XRAI_1.50,1,1,sum,1
3579,2,10,1,0.3,9,10,400,1,2,0,XRAI_1.50,0,0,sum,1
3127,2,30,1,0.3,3,28,3600,0.866667,15,9,XRAI_1.50,0,0,sum,0.85
187359,2,50,1,1,29,11,10000,0.76,41,26,XRAI_1.50,0,0,sum,0.75
527,2,5,1,0.3,3,2,100,0.6,0,0,XRAI_1.50,1,1,sum,0.5
4071,2,10,1,0.3,10,1,400,0.4,1,1,XRAI_1.50,1,1,sum,0.25
1567,2,15,1,0.3,3,3,900,0.8,3,3,XRAI_1.50,0,0,sum,0.75
4071,2,10,1,0.3,10,4,400,0.5,3,1,XRAI_1.50,1,0,sum,0.5
11281,5,10,1,1,10,3,2500,0.46,1,1,XRAI_1.50,0,0,sum,0.25
187359,2,50,1,1,29,16,10000,0.86,37,26,XRAI_1.50,0,0,sum,0.85
1567,2,15,1,0.3,3,8,900,0.933333,5,3,XRAI_1.50,0,0,sum,0.85
4071,2,10,1,0.3,10,12,400,0.8,3,1,XRAI_1.50,0,0,sum,0.75
527,2,5,1,0.3,3,3,100,0.8,0,0,XRAI_1.50,1,1,sum,0.75
11281,5,10,1,1,10,4,2500,0.64,1,1,XRAI_1.50,0,0,sum,0.5
80767,2,30,3,1,22,41,3600,1,20,13,XRAI_1.50,0,0,sum,1
4071,2,10,1,0.3,10,35,400,0.9,3,1,XRAI_1.50,0,0,sum,0.85
527,2,5,1,0.3,3,10,100,1,1,0,XRAI_1.50,1,0,sum,0.85
11281,5,10,1,1,10,6,2500,0.75,4,1,XRAI_1.50,0,1,sum,0.75
4071,2,10,1,0.3,10,41,400,1,3,1,XRAI_1.50,0,0,sum,1
527,2,5,1,0.3,3,10,100,1,1,0,XRAI_1.50,0,0,sum,1
30037,2,15,5,1,17,1,900,0.333333,7,7,XRAI_1.50,0,0,sum,0.25
11281,5,10,1,1,10,10,2500,0.87,4,1,XRAI_1.50,1,0,sum,0.85
4583,2,10,1,0.3,11,1,400,0.6,0,0,XRAI_1.50,0,0,sum,0.25
85121,2,30,3,1,23,1,3600,0.4,17,17,XRAI_1.50,0,0,sum,0.25
4583,2,10,1,0.3,11,1,400,0.6,0,0,XRAI_1.50,0,0,sum,0.5
714,2,5,1,0.3,4,1,100,1,0,0,XRAI_1.50,0,0,sum,0.25
85121,2,30,3,1,23,2,3600,0.566667,17,17,XRAI_1.50,0,0,sum,0.5
4583,2,10,1,0.3,11,5,400,0.9,1,0,XRAI_1.50,0,0,sum,0.75
30037,2,15,5,1,17,2,900,0.666667,8,7,XRAI_1.50,0,0,sum,0.5
4583,2,10,1,0.3,11,5,400,0.9,1,0,XRAI_1.50,0,0,sum,0.85
1567,2,15,1,0.3,3,50,900,1,6,3,XRAI_1.50,0,0,sum,1
4583,2,10,1,0.3,11,7,400,1,2,0,XRAI_1.50,0,0,sum,1
85121,2,30,3,1,23,6,3600,0.766667,19,17,XRAI_1.50,0,0,sum,0.75
714,2,5,1,0.3,4,1,100,1,0,0,XRAI_1.50,0,0,sum,0.5
187359,2,50,1,1,29,43,10000,1,41,26,XRAI_1.50,0,0,sum,1
5115,2,10,1,0.3,12,1,400,0.5,0,0,XRAI_1.50,0,0,sum,0.25
30037,2,15,5,1,17,4,900,0.8,8,7,XRAI_1.50,0,0,sum,0.75
714,2,5,1,0.3,4,1,100,1,0,0,XRAI_1.50,0,0,sum,0.75
5115,2,10,1,0.3,12,1,400,0.5,0,0,XRAI_1.50,0,0,sum,0.5
714,2,5,1,0.3,4,1,100,1,0,0,XRAI_1.50,0,0,sum,0.85
2124,2,15,1,0.3,4,2,900,0.533333,1,1,XRAI_1.50,0,0,sum,0.25
714,2,5,1,0.3,4,1,100,1,0,0,XRAI_1.50,0,0,sum,1
5115,2,10,1,0.3,12,2,400,0.9,1,0,XRAI_1.50,0,0,sum,0.75
30037,2,15,5,1,17,7,900,0.866667,9,7,XRAI_1.50,0,0,sum,0.85
5115,2,10,1,0.3,12,2,400,0.9,1,0,XRAI_1.50,0,0,sum,0.85
85121,2,30,3,1,23,8,3600,0.866667,19,17,XRAI_1.50,0,0,sum,0.85
5115,2,10,1,0.3,12,3,400,1,3,0,XRAI_1.50,0,0,sum,1
259,2,50,3,0.3,0,2,10000,0.28,35,32,XRAI_1.50,0,0,sum,0.25
2124,2,15,1,0.3,4,2,900,0.533333,1,1,XRAI_1.50,0,0,sum,0.5
30037,2,15,5,1,17,13,900,1,10,7,XRAI_1.50,0,0,sum,1
11281,5,10,1,1,10,60,2500,1,5,1,XRAI_1.50,0,1,sum,1
5667,2,10,1,0.3,13,2,400,0.3,0,0,XRAI_1.50,0,0,sum,0.25
911,2,5,1,0.3,5,1,100,0.8,0,0,XRAI_1.50,0,0,sum,0.25
5667,2,10,1,0.3,13,4,400,0.5,0,0,XRAI_1.50,0,0,sum,0.5
259,2,50,3,0.3,0,9,10000,0.5,36,32,XRAI_1.50,0,0,sum,0.5
2124,2,15,1,0.3,4,5,900,0.8,2,1,XRAI_1.50,0,1,sum,0.75
12493,5,10,1,1,11,1,2500,0.28,0,0,XRAI_1.50,1,1,sum,0.25
5667,2,10,1,0.3,13,6,400,0.9,1,0,XRAI_1.50,0,0,sum,0.75
2124,2,15,1,0.3,4,7,900,0.933333,2,1,XRAI_1.50,1,1,sum,0.85
12493,5,10,1,1,11,3,2500,0.55,0,0,XRAI_1.50,1,1,sum,0.5
911,2,5,1,0.3,5,1,100,0.8,0,0,XRAI_1.50,0,0,sum,0.5
5667,2,10,1,0.3,13,6,400,0.9,1,0,XRAI_1.50,0,0,sum,0.85
911,2,5,1,0.3,5,1,100,0.8,0,0,XRAI_1.50,0,0,sum,0.75
2124,2,15,1,0.3,4,8,900,1,3,1,XRAI_1.50,1,1,sum,1
259,2,50,3,0.3,0,26,10000,0.76,35,32,XRAI_1.50,0,0,sum,0.75
3127,2,30,1,0.3,3,328,3600,1,15,9,XRAI_1.50,0,0,sum,1
12493,5,10,1,1,11,6,2500,0.75,0,0,XRAI_1.50,1,1,sum,0.75
5667,2,10,1,0.3,13,13,400,1,2,0,XRAI_1.50,0,0,sum,1
911,2,5,1,0.3,5,8,100,1,1,0,XRAI_1.50,0,0,sum,0.85
2711,2,15,1,0.3,5,4,900,0.466667,2,2,XRAI_1.50,0,0,sum,0.25
6239,2,10,1,0.3,14,2,400,0.5,3,3,XRAI_1.50,1,1,sum,0.25
4239,2,30,1,0.3,4,2,3600,0.266667,11,11,XRAI_1.50,0,0,sum,0.25
259,2,50,3,0.3,0,35,10000,0.9,36,32,XRAI_1.50,0,0,sum,0.85
12493,5,10,1,1,11,10,2500,0.88,1,0,XRAI_1.50,1,1,sum,0.85
4239,2,30,1,0.3,4,3,3600,0.5,13,11,XRAI_1.50,0,0,sum,0.5
85121,2,30,3,1,23,53,3600,1,24,17,XRAI_1.50,0,0,sum,1
6239,2,10,1,0.3,14,2,400,0.5,3,3,XRAI_1.50,1,1,sum,0.5
911,2,5,1,0.3,5,8,100,1,1,0,XRAI_1.50,0,0,sum,1
4239,2,30,1,0.3,4,14,3600,0.766667,15,11,XRAI_1.50,0,0,sum,0.75
6239,2,10,1,0.3,14,6,400,0.8,4,3,XRAI_1.50,1,0,sum,0.75
2711,2,15,1,0.3,5,5,900,0.666667,3,2,XRAI_1.50,0,0,sum,0.5
1118,2,5,1,0.3,6,1,100,1,0,0,XRAI_1.50,0,0,sum,0.25
89535,2,30,3,1,24,2,3600,0.3,13,13,XRAI_1.50,0,0,sum,0.25
6239,2,10,1,0.3,14,10,400,0.9,4,3,XRAI_1.50,0,0,sum,0.85
2711,2,15,1,0.3,5,14,900,0.8,5,2,XRAI_1.50,0,0,sum,0.75
4239,2,30,1,0.3,4,29,3600,0.866667,15,11,XRAI_1.50,0,0,sum,0.85
51079,20,30,5,0.3,24,34,360000,0.502105,19,18,XRAI_1.50,0,0,sum,0.5
89535,2,30,3,1,24,3,3600,0.5,13,13,XRAI_1.50,0,0,sum,0.5
6239,2,10,1,0.3,14,28,400,1,5,3,XRAI_1.50,0,0,sum,1
1118,2,5,1,0.3,6,1,100,1,0,0,XRAI_1.50,0,0,sum,0.5
2711,2,15,1,0.3,5,16,900,1,5,2,XRAI_1.50,0,0,sum,0.85
1118,2,5,1,0.3,6,1,100,1,0,0,XRAI_1.50,0,0,sum,0.75
6831,2,10,1,0.3,15,3,400,0.6,1,1,XRAI_1.50,0,0,sum,0.25
32068,2,15,5,1,18,2,900,0.4,9,8,XRAI_1.50,0,0,sum,0.25
6831,2,10,1,0.3,15,3,400,0.6,1,1,XRAI_1.50,0,0,sum,0.5
4239,2,30,1,0.3,4,60,3600,1,15,11,XRAI_1.50,0,0,sum,1
6831,2,10,1,0.3,15,6,400,0.8,2,1,XRAI_1.50,0,0,sum,0.75
89535,2,30,3,1,24,6,3600,0.833333,19,13,XRAI_1.50,0,0,sum,0.75
2711,2,15,1,0.3,5,16,900,1,5,2,XRAI_1.50,0,0,sum,1
6831,2,10,1,0.3,15,8,400,0.9,3,1,XRAI_1.50,0,1,sum,0.85
1118,2,5,1,0.3,6,1,100,1,0,0,XRAI_1.50,0,0,sum,0.85
5411,2,30,1,0.3,5,3,3600,0.333333,9,9,XRAI_1.50,0,0,sum,0.25
6831,2,10,1,0.3,15,10,400,1,2,1,XRAI_1.50,1,1,sum,1
3328,2,15,1,0.3,6,1,900,0.533333,3,3,XRAI_1.50,0,0,sum,0.25
32068,2,15,5,1,18,3,900,0.6,9,8,XRAI_1.50,0,0,sum,0.5
5411,2,30,1,0.3,5,4,3600,0.5,9,9,XRAI_1.50,0,0,sum,0.5
7443,2,10,1,0.3,16,2,400,0.7,0,0,XRAI_1.50,0,0,sum,0.25
1118,2,5,1,0.3,6,1,100,1,0,0,XRAI_1.50,0,0,sum,1
7443,2,10,1,0.3,16,2,400,0.7,0,0,XRAI_1.50,0,0,sum,0.5
89535,2,30,3,1,24,8,3600,0.866667,23,13,XRAI_1.50,0,0,sum,0.85
32068,2,15,5,1,18,6,900,0.8,9,8,XRAI_1.50,0,0,sum,0.75
5411,2,30,1,0.3,5,18,3600,0.8,11,9,XRAI_1.50,0,0,sum,0.75
7443,2,10,1,0.3,16,6,400,0.8,0,0,XRAI_1.50,0,0,sum,0.75
3328,2,15,1,0.3,6,1,900,0.533333,3,3,XRAI_1.50,0,0,sum,0.5
5411,2,30,1,0.3,5,19,3600,0.866667,11,9,XRAI_1.50,0,0,sum,0.85
7443,2,10,1,0.3,16,11,400,1,2,0,XRAI_1.50,0,0,sum,0.85
1335,2,5,1,0.3,7,2,100,0.6,0,0,XRAI_1.50,0,0,sum,0.25
7443,2,10,1,0.3,16,11,400,1,2,0,XRAI_1.50,0,0,sum,1
3328,2,15,1,0.3,6,5,900,0.866667,5,3,XRAI_1.50,0,0,sum,0.75
32068,2,15,5,1,18,10,900,0.933333,9,8,XRAI_1.50,0,0,sum,0.85
8075,2,10,1,0.3,17,1,400,0.3,0,0,XRAI_1.50,0,0,sum,0.25
89535,2,30,3,1,24,26,3600,1,23,13,XRAI_1.50,0,0,sum,1
8075,2,10,1,0.3,17,3,400,0.8,0,0,XRAI_1.50,0,0,sum,0.5
