seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
10396,2,15,5,0.3,26,4,900,0.6,2,0,XRAI_1.00,0,0,sum,0.5
2031,10,10,1,1,10,15,10000,0.768889,2,2,XRAI_1.00,1,1,sum,0.75
8306,2,25,3,0.6,18,17,2500,0.76,8,1,XRAI_1.00,0,0,sum,0.75
51,2,10,1,0.3,0,15,400,1,3,2,XRAI_1.00,0,0,sum,1
33,2,5,1,0.3,1,0,100,0,0,0,XRAI_1.00,0,0,sum,0
8306,2,25,3,0.6,18,18,2500,0.84,8,1,XRAI_1.00,0,0,sum,0.8
33,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_1.00,0,1,sum,0.1
1764,10,15,1,0.3,4,19,22500,0.657778,2,1,XRAI_1.00,1,1,sum,0.65
63,2,10,1,0.3,1,0,400,0,0,0,XRAI_1.00,1,1,sum,0
2031,10,10,1,1,10,17,10000,0.806667,2,2,XRAI_1.00,1,1,sum,0.8
63,2,10,1,0.3,1,1,400,0.3,0,0,XRAI_1.00,1,1,sum,0.1
33,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_1.00,1,1,sum,0.25
4319,2,50,1,1,9,13,10000,0.82,37,24,XRAI_1.00,0,0,sum,0.75
63,2,10,1,0.3,1,1,400,0.3,0,0,XRAI_1.00,1,1,sum,0.25
33,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_1.00,1,1,sum,0.4
126,2,25,1,0.3,0,86,2500,1,14,10,XRAI_1.00,0,0,sum,1
63,2,10,1,0.3,1,2,400,0.7,0,0,XRAI_1.00,1,1,sum,0.4
8306,2,25,3,0.6,18,19,2500,0.88,9,1,XRAI_1.00,0,0,sum,0.85
63,2,10,1,0.3,1,2,400,0.7,0,0,XRAI_1.00,1,1,sum,0.5
4319,2,50,1,1,9,13,10000,0.82,37,24,XRAI_1.00,0,0,sum,0.8
467,5,5,1,1,8,5,625,0.8,0,0,XRAI_1.00,1,1,sum,0.75
76,2,15,1,0.3,0,20,900,0.933333,5,2,XRAI_1.00,0,1,sum,0.9
16450,5,25,5,0.3,25,14,15625,0.508,1,0,XRAI_1.00,0,0,sum,0.5
14173,5,50,3,0.6,16,6,62500,0.27,19,16,XRAI_1.00,0,0,sum,0.25
467,5,5,1,1,8,5,625,0.8,0,0,XRAI_1.00,1,1,sum,0.8
76,2,15,1,0.3,0,35,900,1,5,2,XRAI_1.00,1,1,sum,0.95
31663,10,50,5,0.3,23,7,250000,0.111556,7,7,XRAI_1.00,0,0,sum,0.1
467,5,5,1,1,8,6,625,0.86,1,0,XRAI_1.00,1,1,sum,0.85
76,2,15,1,0.3,0,35,900,1,5,2,XRAI_1.00,1,1,sum,1
2031,10,10,1,1,10,24,10000,0.851111,2,2,XRAI_1.00,1,1,sum,0.85
467,5,5,1,1,8,8,625,0.9,1,0,XRAI_1.00,1,1,sum,0.9
93,2,15,1,0.3,1,0,900,0,3,3,XRAI_1.00,0,0,sum,0
63,2,10,1,0.3,1,2,400,0.7,0,0,XRAI_1.00,1,1,sum,0.65
1764,10,15,1,0.3,4,34,22500,0.754074,3,1,XRAI_1.00,1,1,sum,0.75
153,2,25,1,0.3,1,0,2500,0,10,10,XRAI_1.00,0,0,sum,0
33,2,5,1,0.3,1,2,100,0.6,0,0,XRAI_1.00,1,1,sum,0.5
8306,2,25,3,0.6,18,21,2500,0.96,8,1,XRAI_1.00,0,0,sum,0.9
63,2,10,1,0.3,1,4,400,0.8,0,0,XRAI_1.00,1,1,sum,0.75
153,2,25,1,0.3,1,1,2500,0.28,10,10,XRAI_1.00,0,0,sum,0.1
4319,2,50,1,1,9,15,10000,0.86,38,24,XRAI_1.00,0,0,sum,0.85
