seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,div_threshold
76473,2,30,3,1,21,4,3600,0.5,16,16,XRAI_1.50,0,0,eucl,0.5
695,2,10,1,0.3,2,9,400,0.9,2,1,XRAI_1.50,0,0,eucl,0.85
2075,2,30,1,0.3,2,21,3600,0.866667,18,14,XRAI_1.50,0,0,eucl,0.75
28036,2,15,5,1,16,1,900,0.466667,5,5,XRAI_1.50,0,0,eucl,0.25
2075,2,30,1,0.3,2,21,3600,0.866667,18,14,XRAI_1.50,0,0,eucl,0.85
911,2,5,1,0.3,5,1,100,0.8,0,0,XRAI_1.50,0,0,eucl,0.5
1567,2,15,1,0.3,3,8,900,0.933333,5,3,XRAI_1.50,0,0,eucl,0.85
28036,2,15,5,1,16,2,900,0.666667,5,5,XRAI_1.50,0,0,eucl,0.5
911,2,5,1,0.3,5,1,100,0.8,0,0,XRAI_1.50,0,0,eucl,0.75
8917,5,10,1,1,8,133,2500,1,2,0,XRAI_1.50,0,0,eucl,1
911,2,5,1,0.3,5,8,100,1,1,0,XRAI_1.50,0,0,eucl,0.85
695,2,10,1,0.3,2,11,400,1,2,1,XRAI_1.50,0,0,eucl,1
171755,2,50,1,1,27,2,10000,0.3,24,24,XRAI_1.50,0,0,eucl,0.25
124693,5,50,5,0.6,28,36,62500,0.75044,39,32,XRAI_1.50,0,0,eucl,0.75
1047,2,10,1,0.3,3,2,400,0.3,1,1,XRAI_1.50,0,0,eucl,0.25
76473,2,30,3,1,21,12,3600,0.766667,23,16,XRAI_1.50,0,0,eucl,0.75
1047,2,10,1,0.3,3,9,400,0.8,2,1,XRAI_1.50,0,0,eucl,0.5
171755,2,50,1,1,27,5,10000,0.52,24,24,XRAI_1.50,0,0,eucl,0.5
1047,2,10,1,0.3,3,9,400,0.8,2,1,XRAI_1.50,0,0,eucl,0.75
19828,10,15,3,0.6,16,31,22500,0.850929,8,6,XRAI_1.50,1,1,eucl,0.85
1047,2,10,1,0.3,3,12,400,0.9,2,1,XRAI_1.50,0,0,eucl,0.85
1567,2,15,1,0.3,3,50,900,1,6,3,XRAI_1.50,0,0,eucl,1
2075,2,30,1,0.3,2,49,3600,1,18,14,XRAI_1.50,0,0,eucl,1
28036,2,15,5,1,16,8,900,0.8,6,5,XRAI_1.50,0,0,eucl,0.75
911,2,5,1,0.3,5,8,100,1,1,0,XRAI_1.50,0,0,eucl,1
10089,5,10,1,1,9,3,2500,0.3755,0,0,XRAI_1.50,1,1,eucl,0.25
2124,2,15,1,0.3,4,2,900,0.533333,1,1,XRAI_1.50,0,0,eucl,0.25
3127,2,30,1,0.3,3,3,3600,0.4,11,9,XRAI_1.50,0,0,eucl,0.25
10089,5,10,1,1,9,6,2500,0.509082,0,0,XRAI_1.50,1,1,eucl,0.5
57195,10,30,1,0.6,22,44,90000,0.750259,16,10,XRAI_1.50,0,1,eucl,0.75
2124,2,15,1,0.3,4,2,900,0.533333,1,1,XRAI_1.50,0,0,eucl,0.5
51079,20,30,5,0.3,24,15,360000,0.260417,18,18,XRAI_1.50,0,0,eucl,0.25
28036,2,15,5,1,16,13,900,0.866667,6,5,XRAI_1.50,0,0,eucl,0.85
3127,2,30,1,0.3,3,5,3600,0.566667,11,9,XRAI_1.50,0,0,eucl,0.5
1118,2,5,1,0.3,6,1,100,1,0,0,XRAI_1.50,0,0,eucl,0.25
2124,2,15,1,0.3,4,5,900,0.8,2,1,XRAI_1.50,0,1,eucl,0.75
10089,5,10,1,1,9,10,2500,0.767621,0,0,XRAI_1.50,1,1,eucl,0.75
2124,2,15,1,0.3,4,7,900,0.933333,2,1,XRAI_1.50,1,1,eucl,0.85
28036,2,15,5,1,16,19,900,1,6,5,XRAI_1.50,0,0,eucl,1
3127,2,30,1,0.3,3,15,3600,0.766667,11,9,XRAI_1.50,0,0,eucl,0.75
1118,2,5,1,0.3,6,1,100,1,0,0,XRAI_1.50,0,0,eucl,0.5
