seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,div_threshold
4319,2,50,1,1,9,27,10000,0.98,41,24,XRAI_1.00,0,0,eucl,0.95
93,2,15,1,0.3,1,0,900,0,3,3,XRAI_1.00,0,0,eucl,0
16450,5,25,5,0.3,25,47,15625,0.773373,4,0,XRAI_1.00,0,0,eucl,0.75
14173,5,50,3,0.6,16,16,62500,0.510674,24,16,XRAI_1.00,0,0,eucl,0.5
93,2,15,1,0.3,1,1,900,0.2,3,3,XRAI_1.00,0,0,eucl,0.1
11197,2,15,5,0.3,27,6,900,0.666667,1,0,XRAI_1.00,0,0,eucl,0.65
11243,2,25,3,0.6,21,10,2500,0.6,14,4,XRAI_1.00,0,0,eucl,0.5
153,2,25,1,0.3,1,5,2500,0.52,11,10,XRAI_1.00,0,0,eucl,0.5
16450,5,25,5,0.3,25,49,15625,0.803633,4,0,XRAI_1.00,0,0,eucl,0.8
93,2,15,1,0.3,1,3,900,0.333333,3,3,XRAI_1.00,0,0,eucl,0.25
4319,2,50,1,1,9,49,10000,1,45,24,XRAI_1.00,0,0,eucl,1
93,2,15,1,0.3,1,5,900,0.6,3,3,XRAI_1.00,0,0,eucl,0.4
11197,2,15,5,0.3,27,14,900,0.8,3,0,XRAI_1.00,0,0,eucl,0.75
93,2,15,1,0.3,1,5,900,0.6,3,3,XRAI_1.00,0,0,eucl,0.5
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_1.00,1,0,eucl,0.65
11243,2,25,3,0.6,21,15,2500,0.68,15,4,XRAI_1.00,0,0,eucl,0.65
1764,10,15,1,0.3,4,60,22500,0.850598,4,1,XRAI_1.00,1,1,eucl,0.85
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_1.00,0,0,eucl,0.75
11243,2,25,3,0.6,21,20,2500,0.8,16,4,XRAI_1.00,0,0,eucl,0.75
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_1.00,0,0,eucl,0.8
11197,2,15,5,0.3,27,14,900,0.8,3,0,XRAI_1.00,0,0,eucl,0.8
153,2,25,1,0.3,1,10,2500,0.8,14,10,XRAI_1.00,0,1,eucl,0.65
11243,2,25,3,0.6,21,20,2500,0.8,16,4,XRAI_1.00,0,0,eucl,0.8
63,2,10,1,0.3,1,2,400,0.7,0,0,XRAI_1.00,1,1,eucl,0.5
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_1.00,0,0,eucl,0.85
11243,2,25,3,0.6,21,22,2500,0.88,16,4,XRAI_1.00,0,0,eucl,0.85
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_1.00,0,0,eucl,0.9
63,2,10,1,0.3,1,2,400,0.7,0,0,XRAI_1.00,1,1,eucl,0.65
11243,2,25,3,0.6,21,23,2500,0.96,16,4,XRAI_1.00,0,0,eucl,0.9
153,2,25,1,0.3,1,10,2500,0.8,14,10,XRAI_1.00,1,1,eucl,0.75
11243,2,25,3,0.6,21,23,2500,0.96,16,4,XRAI_1.00,0,0,eucl,0.95
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_1.00,0,0,eucl,0.95
11197,2,15,5,0.3,27,24,900,0.866667,2,0,XRAI_1.00,0,1,eucl,0.85
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_1.00,0,0,eucl,1
63,2,10,1,0.3,1,4,400,0.8,0,0,XRAI_1.00,1,1,eucl,0.75
153,2,25,1,0.3,1,10,2500,0.8,14,10,XRAI_1.00,1,1,eucl,0.8
63,2,10,1,0.3,1,4,400,0.8,0,0,XRAI_1.00,1,1,eucl,0.8
114,2,5,1,0.3,4,0,100,0,0,0,XRAI_1.00,0,0,eucl,0
153,2,25,1,0.3,1,12,2500,0.88,14,10,XRAI_1.00,1,1,eucl,0.85
11197,2,15,5,0.3,27,30,900,0.933333,2,0,XRAI_1.00,1,1,eucl,0.9
63,2,10,1,0.3,1,6,400,0.9,2,0,XRAI_1.00,1,1,eucl,0.85
114,2,5,1,0.3,4,2,100,0.8,0,0,XRAI_1.00,0,0,eucl,0.1
63,2,10,1,0.3,1,6,400,0.9,2,0,XRAI_1.00,1,1,eucl,0.9
11243,2,25,3,0.6,21,59,2500,1,15,4,XRAI_1.00,0,0,eucl,1
114,2,5,1,0.3,4,2,100,0.8,0,0,XRAI_1.00,0,0,eucl,0.25
153,2,25,1,0.3,1,18,2500,0.92,13,10,XRAI_1.00,1,0,eucl,0.9
114,2,5,1,0.3,4,2,100,0.8,0,0,XRAI_1.00,0,0,eucl,0.4
63,2,10,1,0.3,1,17,400,1,2,0,XRAI_1.00,1,1,eucl,0.95
12322,2,25,3,0.6,22,0,2500,0,5,5,XRAI_1.00,0,0,eucl,0
114,2,5,1,0.3,4,2,100,0.8,0,0,XRAI_1.00,0,0,eucl,0.5
153,2,25,1,0.3,1,25,2500,0.96,13,10,XRAI_1.00,0,0,eucl,0.95
12322,2,25,3,0.6,22,1,2500,0.16,5,5,XRAI_1.00,0,0,eucl,0.1
63,2,10,1,0.3,1,17,400,1,2,0,XRAI_1.00,1,1,eucl,1
12322,2,25,3,0.6,22,2,2500,0.44,8,5,XRAI_1.00,0,0,eucl,0.25
11197,2,15,5,0.3,27,59,900,1,3,0,XRAI_1.00,1,0,eucl,0.95
12322,2,25,3,0.6,22,2,2500,0.44,8,5,XRAI_1.00,0,0,eucl,0.4
11197,2,15,5,0.3,27,59,900,1,3,0,XRAI_1.00,0,0,eucl,1
114,2,5,1,0.3,4,2,100,0.8,0,0,XRAI_1.00,0,0,eucl,0.65
12322,2,25,3,0.6,22,3,2500,0.52,8,5,XRAI_1.00,0,0,eucl,0.5
114,2,5,1,0.3,4,2,100,0.8,0,0,XRAI_1.00,0,0,eucl,0.75
153,2,25,1,0.3,1,50,2500,1,14,10,XRAI_1.00,0,0,eucl,1
12322,2,25,3,0.6,22,6,2500,0.8,8,5,XRAI_1.00,0,1,eucl,0.65
95,2,10,1,0.3,2,0,400,0,0,0,XRAI_1.00,1,1,eucl,0
12322,2,25,3,0.6,22,6,2500,0.8,8,5,XRAI_1.00,1,1,eucl,0.75
114,2,5,1,0.3,4,2,100,0.8,0,0,XRAI_1.00,0,0,eucl,0.8
12322,2,25,3,0.6,22,6,2500,0.8,8,5,XRAI_1.00,1,1,eucl,0.8
95,2,10,1,0.3,2,1,400,0.3,0,0,XRAI_1.00,1,1,eucl,0.1
12322,2,25,3,0.6,22,7,2500,0.88,12,5,XRAI_1.00,1,1,eucl,0.85
95,2,10,1,0.3,2,1,400,0.3,0,0,XRAI_1.00,1,1,eucl,0.25
12028,2,15,5,0.3,28,0,900,0,0,0,XRAI_1.00,0,0,eucl,0
230,2,25,1,0.3,2,0,2500,0,4,4,XRAI_1.00,0,0,eucl,0
12322,2,25,3,0.6,22,9,2500,0.92,12,5,XRAI_1.00,1,1,eucl,0.9
95,2,10,1,0.3,2,2,400,0.7,1,0,XRAI_1.00,1,1,eucl,0.4
305,5,10,1,0.3,2,435,2500,1,2,1,XRAI_1.00,0,0,eucl,1
95,2,10,1,0.3,2,2,400,0.7,1,0,XRAI_1.00,1,1,eucl,0.5
12322,2,25,3,0.6,22,16,2500,0.96,14,5,XRAI_1.00,1,0,eucl,0.95
114,2,5,1,0.3,4,5,100,1,1,0,XRAI_1.00,0,0,eucl,0.85
12028,2,15,5,0.3,28,1,900,0.133333,0,0,XRAI_1.00,0,0,eucl,0.1
230,2,25,1,0.3,2,1,2500,0.24,4,4,XRAI_1.00,0,0,eucl,0.1
12322,2,25,3,0.6,22,23,2500,1,16,5,XRAI_1.00,0,0,eucl,1
357,5,10,1,0.3,3,0,2500,1.11022e-16,0,0,XRAI_1.00,1,1,eucl,0
114,2,5,1,0.3,4,5,100,1,1,0,XRAI_1.00,0,0,eucl,0.9
12028,2,15,5,0.3,28,2,900,0.266667,0,0,XRAI_1.00,0,0,eucl,0.25
357,5,10,1,0.3,3,1,2500,0.107812,0,0,XRAI_1.00,1,1,eucl,0.1
