seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
50,2,5,1,0.3,2,15,100,1,0,0,XRAI_0.10,1,1,eucl,0.95
11197,2,15,5,0.3,27,6,900,0.466667,0,0,XRAI_0.10,0,0,eucl,0.4
50,2,5,1,0.3,2,15,100,1,0,0,XRAI_0.10,1,1,eucl,1
51,2,10,1,0.3,0,6,400,0.8,4,2,XRAI_0.10,0,0,eucl,0.8
153,2,25,1,0.3,1,1,2500,0.12,10,10,XRAI_0.10,0,0,eucl,0.1
77,2,5,1,0.3,3,0,100,0,0,0,XRAI_0.10,0,0,eucl,0
93,2,15,1,0.3,1,37,900,1,6,3,XRAI_0.10,1,0,eucl,0.95
77,2,5,1,0.3,3,1,100,0.6,0,0,XRAI_0.10,0,1,eucl,0.1
153,2,25,1,0.3,1,5,2500,0.32,11,10,XRAI_0.10,0,0,eucl,0.25
77,2,5,1,0.3,3,1,100,0.6,0,0,XRAI_0.10,1,1,eucl,0.25
51,2,10,1,0.3,0,13,400,1,4,2,XRAI_0.10,0,1,eucl,0.85
16450,5,25,5,0.3,25,77,15625,0.763695,5,0,XRAI_0.10,0,0,eucl,0.75
153,2,25,1,0.3,1,6,2500,0.4,11,10,XRAI_0.10,0,0,eucl,0.4
11197,2,15,5,0.3,27,10,900,0.666667,0,0,XRAI_0.10,0,0,eucl,0.5
77,2,5,1,0.3,3,1,100,0.6,0,0,XRAI_0.10,1,1,eucl,0.4
1764,10,15,1,0.3,4,42,22500,0.658182,2,1,XRAI_0.10,0,0,eucl,0.65
305,5,10,1,0.3,2,279,2500,1,3,1,XRAI_0.10,0,1,eucl,1
153,2,25,1,0.3,1,7,2500,0.52,12,10,XRAI_0.10,0,0,eucl,0.5
93,2,15,1,0.3,1,37,900,1,6,3,XRAI_0.10,0,0,eucl,1
77,2,5,1,0.3,3,1,100,0.6,0,0,XRAI_0.10,1,1,eucl,0.5
8306,2,25,3,0.6,18,35,2500,0.92,12,1,XRAI_0.10,0,0,eucl,0.9
77,2,5,1,0.3,3,2,100,0.8,0,0,XRAI_0.10,1,0,eucl,0.65
153,2,25,1,0.3,1,11,2500,0.72,12,10,XRAI_0.10,0,0,eucl,0.65
11197,2,15,5,0.3,27,10,900,0.666667,0,0,XRAI_0.10,0,0,eucl,0.65
140,2,15,1,0.3,2,0,900,0,1,1,XRAI_0.10,1,1,eucl,0
77,2,5,1,0.3,3,2,100,0.8,0,0,XRAI_0.10,0,0,eucl,0.75
140,2,15,1,0.3,2,1,900,0.2,1,1,XRAI_0.10,1,1,eucl,0.1
153,2,25,1,0.3,1,14,2500,0.76,12,10,XRAI_0.10,0,0,eucl,0.75
357,5,10,1,0.3,3,0,2500,1.11022e-16,0,0,XRAI_0.10,1,1,eucl,0
11197,2,15,5,0.3,27,19,900,0.866667,0,0,XRAI_0.10,0,0,eucl,0.75
8306,2,25,3,0.6,18,36,2500,0.96,13,1,XRAI_0.10,0,0,eucl,0.95
11197,2,15,5,0.3,27,19,900,0.866667,0,0,XRAI_0.10,0,0,eucl,0.8
153,2,25,1,0.3,1,15,2500,0.8,12,10,XRAI_0.10,0,0,eucl,0.8
357,5,10,1,0.3,3,1,2500,0.107812,0,0,XRAI_0.10,1,1,eucl,0.1
